SR,Vis
0.0998,2311900
0.141,2060300
0.199,1807050
0.282,1559750
0.398,1320250
0.562,1112650
0.794,920950
1.12,749465
1.58,598420
2.24,489770
3.16,384100
4.47,303005
6.31,237900
8.91,184010
12.6,142380
17.8,94907.5
25.1,71285
35.5,51944.5
50.1,39765
70.8,30650
100,22445.5
