SR,Vis
0.0998,641120
0.141,600365
0.199,551120
0.282,494025
0.398,440805
0.562,385175
0.794,334090
1.12,284125
1.58,235580
2.24,199635
3.16,166195
4.47,134080
6.31,110320
8.91,90378.5
12.6,74033.5
17.8,59346
25.1,46901
35.5,36790.5
50.1,28359.5
70.8,21600
100,15830.5
