SR,Vis
0.0998,4173.85
0.141,4152.65
0.199,4031.5
0.282,4003.95
0.398,3945.65
0.562,3855.95
0.794,3803.45
1.12,3728.1
1.58,3654.05
2.24,3557.15
3.16,3449.7
4.47,3319.45
6.31,3173.65
8.91,3014
12.6,2829.8
17.8,2629.3
25.1,2412
35.5,2183.55
50.1,1948.3
70.8,1712.65
100,1482.6
