SR,Vis
0.0998,13251500
0.141,11102000
0.199,9244650
0.282,7506100
0.398,6059150
0.562,4804300
0.794,3754550
1.12,2951000
1.58,2242200
2.24,1673050
3.16,1237050
4.47,845150
6.31,599450
8.91,432560
12.6,287585
17.8,152085
25.1,88179.5
35.5,34755.5
50.1,13933.5
70.8,3814.25
100,1508.565
