SR,Vis
0.0998,19419500
0.141,15685000
0.199,12731500
0.282,10166500
0.398,8021800
0.562,6238750
0.794,4858250
1.12,3756800
1.58,2817900
2.24,2101850
3.16,1525400
4.47,1033930
6.31,759600
8.91,549920
12.6,323600
17.8,154670
25.1,59672.5
35.5,24542
50.1,13057
70.8,2633.9
100,458.265
